datetime,open,high,low,close
2026-06-20 03:00:00,4154.80117,4160.47464,4154.54121,4156.6112
2026-06-20 07:00:00,4156.46111,4156.7484,4156.27598,4156.53799
2026-06-20 11:00:00,4156.54261,4156.74371,4156.48012,4156.61661
2026-06-20 15:00:00,4156.54863,4156.73928,4156.48148,4156.63546
2026-06-20 19:00:00,4156.54064,4156.74439,4156.47968,4156.60601
2026-06-20 23:00:00,4156.54202,4156.72896,4156.47968,4156.64193
2026-06-21 03:00:00,4156.54202,4156.72897,4156.47968,4156.51085
2026-06-21 07:00:00,4156.54202,4156.73244,4156.47968,4156.60282
2026-06-21 11:00:00,4156.54548,4156.73245,4156.48314,4156.6089
2026-06-21 15:00:00,4156.54548,4156.73245,4156.48314,4156.63897
2026-06-21 19:00:00,4156.54548,4156.73246,4156.48314,4156.60526
2026-06-21 23:00:00,4156.54548,4156.73246,4156.48314,4156.54227
2026-06-22 03:00:00,4156.54548,4157.44038,4155.23976,4156.5162
2026-06-22 07:00:00,4156.54721,4199.33688,4135.46633,4194.08601
2026-06-22 11:00:00,4195.59055,4216.38487,4170.81089,4181.30687
2026-06-22 15:00:00,4180.46242,4207.16059,4179.72832,4195.08009
2026-06-22 19:00:00,4195.40455,4214.2526,4193.22047,4193.62349
2026-06-22 23:00:00,4194.23207,4209.64008,4172.05557,4190.07087
2026-06-23 03:00:00,4189.20597,4194.279,4178.33117,4191.78368
2026-06-23 07:00:00,4192.03092,4195.10073,4178.85499,4193.44278
2026-06-23 11:00:00,4193.11026,4195.86288,4121.21679,4123.33723
2026-06-23 15:00:00,4126.05721,4137.01804,4092.15534,4103.62106
2026-06-23 19:00:00,4103.99602,4132.2314,4103.57421,4114.5209
2026-06-23 23:00:00,4115.43922,4143.01694,4105.49574,4132.71109
2026-06-24 03:00:00,4132.6601,4140.44386,4107.78837,4110.44546
2026-06-24 07:00:00,4109.93157,4114.71835,4081.96587,4094.3685
2026-06-24 11:00:00,4095.32367,4101.04987,4050.56143,4066.55553
2026-06-24 15:00:00,4066.03423,4096.68169,4060.91039,4076.95117
2026-06-24 19:00:00,4077.25046,4079.51551,3991.19791,3992.99029
2026-06-24 23:00:00,3995.33519,4040.5673,3965.42152,4007.14851
2026-06-25 03:00:00,4007.64267,4011.23145,3961.49428,4001.11524
2026-06-25 07:00:00,4000.57448,4018.32356,3978.89218,3991.43205
2026-06-25 11:00:00,3993.27432,4003.68339,3964.41385,3995.94267
2026-06-25 15:00:00,3995.80255,4001.60064,3972.98371,3989.40351
2026-06-25 19:00:00,3989.71296,4018.00064,3971.54328,4010.5468
2026-06-25 23:00:00,4011.09356,4043.83517,4002.33994,4028.58865
2026-06-26 03:00:00,4028.37725,4044.57442,4021.71727,4026.44634
2026-06-26 07:00:00,4026.49141,4036.16403,4012.19708,4022.69729
2026-06-26 11:00:00,4021.32748,4029.49591,3984.06375,4013.41772
2026-06-26 15:00:00,4013.41805,4040.40404,4005.20027,4031.38657
2026-06-26 19:00:00,4031.1586,4060.53331,4029.76903,4059.06601
2026-06-26 23:00:00,4057.18199,4095.31638,4039.42379,4084.78937
2026-06-27 03:00:00,4084.93888,4089.31054,4063.81756,4088.92554
2026-06-27 07:00:00,4088.78641,4091.22487,4080.75567,4080.86659
2026-06-27 11:00:00,4080.81796,4081.01002,4080.75528,4080.90857
2026-06-27 15:00:00,4080.8175,4081.01002,4080.75694,4080.89282
2026-06-27 19:00:00,4080.82104,4081.01073,4080.76027,4080.91281
2026-06-27 23:00:00,4080.82149,4081.00503,4080.76027,4080.7918
2026-06-28 03:00:00,4080.82149,4081.00502,4080.76027,4080.81341
2026-06-28 07:00:00,4080.82149,4081.00668,4080.76027,4080.87618
2026-06-28 11:00:00,4080.82315,4081.00668,4080.76194,4080.91441
2026-06-28 15:00:00,4080.82315,4081.00669,4080.76194,4080.89056
2026-06-28 19:00:00,4080.82315,4081.00669,4080.76194,4080.91779
2026-06-28 23:00:00,4080.82315,4081.0067,4080.76194,4080.79282
2026-06-29 03:00:00,4080.82315,4081.13292,4080.63331,4080.80878
2026-06-29 07:00:00,4080.82962,4092.0206,4048.91084,4071.47852
2026-06-29 11:00:00,4071.62831,4074.81358,4049.5667,4049.81034
2026-06-29 15:00:00,4050.32701,4068.51377,4039.91435,4045.86592
2026-06-29 19:00:00,4046.89227,4054.16363,4026.08906,4043.22079
2026-06-29 23:00:00,4043.55628,4052.19224,4002.40144,4024.793
2026-06-30 03:00:00,4024.99549,4031.60781,4005.7401,4016.52691
2026-06-30 07:00:00,4016.3401,4021.87902,3980.30019,3985.45163
2026-06-30 11:00:00,3982.86507,3997.0469,3949.44708,3985.50974
2026-06-30 15:00:00,3986.03992,4036.9413,3976.44032,4014.51511
2026-06-30 19:00:00,4014.99754,4036.37717,4009.30158,4009.52345
2026-06-30 23:00:00,4010.11546,4063.05867,4010.11546,4026.58776
2026-07-01 03:00:00,4027.21032,4033.7437,4006.57078,4007.70422
2026-07-01 07:00:00,4007.52576,4018.16209,3995.20575,3997.38855
2026-07-01 11:00:00,3998.15246,3999.32406,3970.45978,3977.89243
2026-07-01 15:00:00,3978.15448,3986.36282,3959.59368,3973.35841
2026-07-01 19:00:00,3973.70908,4036.10385,3972.98371,4025.41607
2026-07-01 23:00:00,4025.33671,4115.77285,4012.7717,4071.71746
2026-07-02 03:00:00,4072.59276,4073.54173,4029.65828,4031.56804
2026-07-02 07:00:00,4031.38647,4052.35645,4028.94876,4050.71499
2026-07-02 11:00:00,4050.60546,4074.31551,4041.52849,4061.92557
2026-07-02 15:00:00,4062.28772,4079.80091,4053.99927,4077.06992
2026-07-02 19:00:00,4077.78157,4139.75824,4057.8438,4117.95763
2026-07-02 23:00:00,4118.8628,4142.39852,4100.37723,4118.55277
2026-07-03 03:00:00,4118.36272,4125.92318,4105.35636,4123.87904
2026-07-03 07:00:00,4123.72424,4150.23864,4120.90817,4149.28341
2026-07-03 11:00:00,4149.33156,4195.33479,4145.21895,4178.78315
2026-07-03 15:00:00,4178.56546,4186.90337,4161.98443,4182.18452
2026-07-03 19:00:00,4181.85026,4186.55279,4168.92483,4172.57735
2026-07-03 23:00:00,4173.24474,4179.47649,4156.27598,4174.47128
2026-07-04 03:00:00,4174.93694,4176.1049,4174.58316,4174.93638
2026-07-04 07:00:00,4174.90346,4175.10346,4174.84061,4174.99682
2026-07-04 11:00:00,4174.91212,4175.09997,4174.8424,4174.99981
2026-07-04 15:00:00,4174.91417,4175.102,4174.8424,4174.98864
2026-07-04 19:00:00,4174.91212,4175.10169,4174.8424,4174.88337
2026-07-04 23:00:00,4174.90689,4175.09474,4174.84431,4174.88503
2026-07-05 03:00:00,4174.90689,4175.09474,4174.8443,4174.94111
2026-07-05 07:00:00,4174.90689,4175.09474,4167.47444,4174.99421
2026-07-05 11:00:00,4174.90689,4175.09473,4174.8443,4174.98999
2026-07-05 15:00:00,4174.90689,4175.09473,4174.84429,4174.98811
2026-07-05 19:00:00,4174.90689,4175.09473,4174.84429,4174.8811
2026-07-05 23:00:00,4174.90689,4175.09472,4174.84429,4174.88788
2026-07-06 03:00:00,4174.90689,4175.1096,4173.27435,4175.01112
2026-07-06 07:00:00,4174.96346,4202.03378,4170.84922,4179.03467
2026-07-06 11:00:00,4180.66557,4201.28023,4158.00416,4160.21239
2026-07-06 15:00:00,4160.36688,4165.79879,4146.28079,4151.96933
2026-07-06 19:00:00,4151.67666,4160.62992,4131.80986,4140.68503
2026-07-06 23:00:00,4141.64589,4156.44873,4129.33064,4156.1832
2026-07-07 03:00:00,4155.65877,4167.80418,4150.58316,4165.12051
2026-07-07 07:00:00,4164.60827,4169.44182,4147.24474,4148.54209
2026-07-07 11:00:00,4149.39924,4149.39924,4125.92318,4126.13408
2026-07-07 15:00:00,4126.46794,4139.00873,4117.59862,4126.7824
2026-07-07 19:00:00,4126.57319,4174.49384,4120.82252,4171.12205
2026-07-07 23:00:00,4169.07716,4179.37894,4136.33355,4143.54141
2026-07-08 03:00:00,4144.04506,4148.01393,4093.9768,4106.14352
2026-07-08 07:00:00,4106.19217,4125.75295,4094.10785,4113.87042
2026-07-08 11:00:00,4115.82963,4130.6952,4097.18523,4125.6744
2026-07-08 15:00:00,4125.9147,4134.11055,4055.15004,4055.46482
2026-07-08 19:00:00,4055.74994,4085.90878,4041.5471,4074.60396
2026-07-08 23:00:00,4075.95516,4082.01487,4022.20256,4063.41711
2026-07-09 03:00:00,4063.16669,4092.4117,4059.75966,4077.27796
2026-07-09 07:00:00,4077.44095,4088.99157,4070.83249,4073.57622
2026-07-09 11:00:00,4073.6447,4082.51324,4054.06488,4063.4864
2026-07-09 15:00:00,4063.15682,4116.41214,4062.92106,4108.86306
2026-07-09 19:00:00,4108.9413,4124.16757,4094.83641,4108.91023
2026-07-09 23:00:00,4110.32011,4137.70275,4107.45092,4129.2448
2026-07-10 03:00:00,4129.68779,4137.70275,4119.63418,4123.6425
2026-07-10 07:00:00,4123.75241,4127.90217,4114.96673,4126.1633
2026-07-10 11:00:00,4126.36849,4133.93964,4109.81424,4115.54884
2026-07-10 15:00:00,4115.56569,4119.97363,4095.17179,4097.30507
2026-07-10 19:00:00,4097.21222,4117.42908,4095.17179,4101.31759
