datetime,open,high,low,close
2026-07-19 05:00:00,4010.53005,4010.70997,4010.47084,4010.50153
2026-07-19 05:30:00,4010.53005,4010.71052,4010.46997,4010.61641
2026-07-19 06:00:00,4010.53005,4010.70998,4010.47005,4010.50714
2026-07-19 06:30:00,4010.53005,4010.71012,4010.46998,4010.60888
2026-07-19 07:00:00,4010.53005,4010.71052,4010.47004,4010.51646
2026-07-19 07:30:00,4010.53005,4010.71012,4010.47085,4010.60467
2026-07-19 08:00:00,4010.53648,4010.71696,4010.47644,4010.53494
2026-07-19 08:30:00,4010.53648,4010.71649,4010.47737,4010.59114
2026-07-19 09:00:00,4010.53648,4010.71696,4010.47644,4010.57845
2026-07-19 09:30:00,4010.53648,4010.7165,4010.47644,4010.60137
2026-07-19 10:00:00,4010.53648,4010.71648,4010.47645,4010.56517
2026-07-19 10:30:00,4010.53648,4010.71696,4010.47644,4010.61564
2026-07-19 11:00:00,4010.53648,4010.71647,4010.47736,4010.58098
2026-07-19 11:30:00,4010.53648,4010.71696,4010.47643,4010.62785
2026-07-19 12:00:00,4010.53648,4010.7165,4010.47736,4010.59578
2026-07-19 12:30:00,4010.53648,4010.71696,4010.47645,4010.53065
2026-07-19 13:00:00,4010.53648,4010.71651,4010.47643,4010.60854
2026-07-19 13:30:00,4010.53648,4010.71646,4010.47645,4010.51925
2026-07-19 14:00:00,4010.53648,4010.71696,4010.47643,4010.61837
2026-07-19 14:30:00,4010.53648,4010.71646,4010.47735,4010.51117
2026-07-19 15:00:00,4010.53648,4010.71696,4010.47643,4010.62457
2026-07-19 15:30:00,4010.53648,4010.71651,4010.47734,4010.50695
2026-07-19 16:00:00,4010.53648,4010.71646,4010.47646,4010.62672
2026-07-19 16:30:00,4010.53648,4010.71696,4010.47643,4010.50691
2026-07-19 17:00:00,4010.53648,4010.71645,4010.47733,4010.62466
2026-07-19 17:30:00,4010.53648,4010.71696,4010.47642,4010.51103
2026-07-19 18:00:00,4010.53648,4010.71652,4010.47733,4010.61854
2026-07-19 18:30:00,4010.53648,4010.71696,4010.47646,4010.51904
2026-07-19 19:00:00,4010.53648,4010.71653,4010.47642,4010.60879
2026-07-19 19:30:00,4010.53648,4010.71644,4010.47646,4010.53037
2026-07-19 20:00:00,4010.53648,4010.71696,4010.47642,4010.59608
2026-07-19 20:30:00,4010.53648,4010.71644,4010.47732,4010.58381
2026-07-19 21:00:00,4010.53648,4010.71696,4010.47642,4010.59612
2026-07-19 21:30:00,4010.53648,4010.71653,4010.47731,4010.56857
2026-07-19 22:00:00,4010.53648,4010.71696,4010.47647,4010.61087
2026-07-19 22:30:00,4010.53648,4010.71654,4010.47642,4010.57555
2026-07-19 23:00:00,4010.53648,4010.71643,4010.47647,4010.6239
2026-07-19 23:30:00,4010.53648,4010.71696,4010.47642,4010.59083
2026-07-20 00:00:00,4010.53648,4010.71643,4010.4773,4010.53523
2026-07-20 00:30:00,4010.53648,4010.71696,4010.47641,4010.6044
2026-07-20 01:00:00,4010.53648,4010.71654,4010.4773,4010.52287
2026-07-20 01:30:00,4010.53648,4010.71696,4010.47647,4010.61534
2026-07-20 02:00:00,4010.53648,4010.71655,4010.47641,4010.51356
2026-07-20 02:30:00,4010.53648,4010.71642,4010.47648,4010.62286
2026-07-20 03:00:00,4010.53648,4010.71696,4010.47641,4010.50795
2026-07-20 03:30:00,4010.53648,4010.71521,4010.47728,4010.62645
2026-07-20 04:00:00,4010.53648,4010.73302,4010.48765,4010.52251
2026-07-20 04:30:00,4010.5516,4010.73274,4010.48677,4010.63883
2026-07-20 05:00:00,4010.54967,4010.73416,4010.48582,4010.52813
2026-07-20 05:30:00,4010.55547,4010.73461,4010.47796,4010.63417
2026-07-20 06:00:00,4010.55023,4010.77281,4010.26628,4010.64515
2026-07-20 06:30:00,4010.4703,4010.74881,4009.94466,4010.6058
2026-07-20 07:00:00,4010.53029,4010.72826,4009.94466,4010.55582
2026-07-20 07:30:00,4010.49505,4010.71691,4010.24059,4010.59064
2026-07-20 08:00:00,4010.52683,4010.52683,3995.27856,3996.29039
2026-07-20 08:30:00,3996.0005,3999.44661,3994.40783,3995.76207
2026-07-20 09:00:00,3996.08879,3996.56673,3989.30042,3992.19016
2026-07-20 09:30:00,3992.63248,3996.52333,3989.78615,3995.1783
2026-07-20 10:00:00,3995.08525,4005.28698,3983.42894,4004.66912
2026-07-20 10:30:00,4004.08733,4004.91542,3998.72041,4001.4705
2026-07-20 11:00:00,4001.50626,4018.43901,4000.48006,4000.92253
2026-07-20 11:30:00,4001.40971,4006.06203,3996.96231,4002.26511
2026-07-20 12:00:00,4001.68247,4009.46233,4001.68247,4008.46493
2026-07-20 12:30:00,4008.07265,4026.89969,4006.73131,4023.20138
2026-07-20 13:00:00,4023.04895,4026.25116,4018.80802,4022.90699
2026-07-20 13:30:00,4022.90771,4027.87288,4019.13106,4023.15936
