datetime,open,high,low,close
2026-07-22 16:10:00,4131.63876,4132.54908,4130.04725,4130.52312
2026-07-22 16:15:00,4131.37522,4131.5485,4129.47347,4131.46786
2026-07-22 16:20:00,4131.15749,4131.93166,4125.47141,4126.59207
2026-07-22 16:25:00,4128.13154,4128.13154,4115.3957,4116.35894
2026-07-22 16:30:00,4116.40125,4118.39985,4115.05699,4117.54703
2026-07-22 16:35:00,4116.87553,4120.48292,4116.87553,4117.43541
2026-07-22 16:40:00,4117.67889,4119.87751,4116.92054,4119.51505
2026-07-22 16:45:00,4119.01608,4120.31314,4117.78325,4118.30188
2026-07-22 16:50:00,4119.45239,4119.45239,4114.71835,4116.54607
2026-07-22 16:55:00,4116.42375,4117.0289,4114.88766,4114.93717
2026-07-22 17:00:00,4114.96624,4116.58159,4113.87198,4114.69588
2026-07-22 17:05:00,4114.61858,4115.22634,4112.68764,4115.14466
2026-07-22 17:10:00,4114.86772,4116.41214,4112.68764,4116.20573
2026-07-22 17:15:00,4115.77214,4119.11123,4115.20029,4118.87402
2026-07-22 17:20:00,4118.47336,4122.01154,4118.47336,4119.42016
2026-07-22 17:25:00,4119.68943,4120.14338,4117.45642,4120.0465
2026-07-22 17:30:00,4119.84094,4122.52133,4118.61614,4118.80226
2026-07-22 17:35:00,4119.07944,4119.07944,4116.50355,4117.5764
2026-07-22 17:40:00,4117.50121,4117.50121,4111.67304,4111.94803
2026-07-22 17:45:00,4112.20129,4113.74046,4110.32102,4111.52468
2026-07-22 17:50:00,4111.30995,4113.57734,4110.15208,4112.98994
2026-07-22 17:55:00,4111.4809,4114.82971,4109.81424,4110.21163
2026-07-22 18:00:00,4110.97569,4113.82223,4109.14544,4113.27189
2026-07-22 18:05:00,4112.53942,4115.73445,4112.53942,4115.57401
2026-07-22 18:10:00,4115.25961,4115.73445,4111.92666,4115.44103
2026-07-22 18:15:00,4114.93574,4115.83584,4114.04122,4114.93797
2026-07-22 18:20:00,4114.39168,4118.3179,4114.39168,4118.11053
2026-07-22 18:25:00,4117.80769,4117.80769,4115.73445,4116.96893
2026-07-22 18:30:00,4116.47324,4118.78578,4116.47324,4118.1656
2026-07-22 18:35:00,4118.24497,4118.78422,4117.09004,4117.2193
2026-07-22 18:40:00,4117.4631,4118.37131,4115.08301,4115.36585
2026-07-22 18:45:00,4115.86346,4115.86346,4113.19513,4114.04756
2026-07-22 18:50:00,4114.03386,4117.62918,4113.74555,4117.21614
2026-07-22 18:55:00,4116.60062,4119.63418,4116.60062,4118.6392
2026-07-22 19:00:00,4118.61493,4120.14338,4118.27999,4119.93603
2026-07-22 19:05:00,4119.93227,4121.67175,4118.95543,4121.54051
2026-07-22 19:10:00,4121.20652,4121.84164,4119.4888,4121.79667
2026-07-22 19:15:00,4121.68361,4121.90201,4120.31314,4121.74037
2026-07-22 19:20:00,4121.24736,4122.60734,4120.14338,4120.93146
2026-07-22 19:25:00,4120.81619,4120.99233,4119.08983,4119.42624
2026-07-22 19:30:00,4120.11344,4120.11344,4117.76817,4117.96887
2026-07-22 19:35:00,4118.07304,4118.14979,4115.53691,4115.96457
2026-07-22 19:40:00,4116.88793,4118.99751,4115.05699,4118.81929
2026-07-22 19:45:00,4118.70047,4118.70047,4115.5213,4117.09296
2026-07-22 19:50:00,4117.07595,4117.09004,4114.3303,4114.74646
2026-07-22 19:55:00,4115.63304,4117.93774,4112.65172,4114.27953
2026-07-22 20:00:00,4114.99591,4119.08844,4113.60556,4117.01954
2026-07-22 20:05:00,4118.12295,4118.12295,4116.07327,4116.78314
2026-07-22 20:10:00,4117.03832,4118.10316,4116.24269,4117.90446
2026-07-22 20:15:00,4117.58932,4118.95543,4117.42908,4118.83846
2026-07-22 20:20:00,4118.62175,4120.85867,4118.41714,4118.94887
2026-07-22 20:25:00,4119.59919,4121.67175,4119.29478,4119.4758
2026-07-22 20:30:00,4119.76614,4119.76614,4118.27691,4118.97179
2026-07-22 20:35:00,4118.88787,4118.95543,4117.42908,4117.78326
2026-07-22 20:40:00,4118.02222,4118.02222,4116.58159,4117.24688
2026-07-22 20:45:00,4117.12632,4118.20348,4116.58159,4117.88952
2026-07-22 20:50:00,4117.08258,4120.14338,4117.08258,4118.4146
2026-07-22 20:55:00,4118.63412,4118.63412,4116.28874,4117.81648
